web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning,Country
1600463420-48,https://www.oddsportal.com/soccer/europe/europa-league/,CSKA Sofia (Bul)  - B36 Torshavn (Fai),https://www.oddsportal.com/soccer/europe/europa-league/cska-sofia-b36-torshavn-fBodydAp/,Europa League,"Thursday, 24 Sep  2020, 17:00",CSKA Sofia (Bul)  - B36 Torshavn (Fai),,Europe
1600463902-109,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Venlo - Utrecht,https://www.oddsportal.com/soccer/netherlands/eredivisie/venlo-utrecht-hlSDQKka/,Eredivisie,"Today, 18 Sep  2020, 18:00",Venlo - Utrecht,Final result,Netherlands
1600463128-11,https://www.oddsportal.com/soccer/spain/laliga/,Real Sociedad - Real Madrid,https://www.oddsportal.com/soccer/spain/laliga/real-sociedad-real-madrid-vmXyKZZb/,LaLiga,"Sunday, 20 Sep  2020, 19:00",Real Sociedad - Real Madrid,,Spain
1600463577-68,https://www.oddsportal.com/soccer/russia/premier-league/,Ufa - CSKA Moscow,https://www.oddsportal.com/soccer/russia/premier-league/ufa-cska-moscow-vmukyara/,Premier League,"Sunday, 20 Sep  2020, 11:00",Ufa - CSKA Moscow,,Russia
1600464147-139,https://www.oddsportal.com/soccer/italy/serie-a/,Udinese - Spezia,https://www.oddsportal.com/soccer/italy/serie-a/udinese-spezia-EkNyL2UD/,Serie A,"Wednesday, 30 Sep  2020, 16:00",Udinese - Spezia,,Italy
1600463360-40,https://www.oddsportal.com/soccer/europe/europa-league/,KuPS (Fin)  - Suduva (Ltu),https://www.oddsportal.com/soccer/europe/europa-league/kups-suduva-bTiagLCn/,Europa League,"Thursday, 24 Sep  2020, 17:00",KuPS (Fin)  - Suduva (Ltu),,Europe
1600463383-43,https://www.oddsportal.com/soccer/europe/europa-league/,Galatasaray (Tur)  - Hajduk Split (Cro),https://www.oddsportal.com/soccer/europe/europa-league/galatasaray-hajduk-split-8dMxV1yb/,Europa League,"Thursday, 24 Sep  2020, 17:00",Galatasaray (Tur)  - Hajduk Split (Cro),,Europe
1600463061-2,https://www.oddsportal.com/soccer/spain/laliga/,Valencia - Huesca,https://www.oddsportal.com/soccer/spain/laliga/valencia-huesca-OhE1zeKu/,LaLiga,"Sunday, 27 Sep  2020, 15:00",Valencia - Huesca,,Spain
1600464222-149,https://www.oddsportal.com/soccer/italy/serie-a/,Cagliari - Lazio,https://www.oddsportal.com/soccer/italy/serie-a/cagliari-lazio-UkThm4J4/,Serie A,"Saturday, 26 Sep  2020, 16:00",Cagliari - Lazio,,Italy
1600463353-39,https://www.oddsportal.com/soccer/europe/europa-league/,Malmo FF (Swe)  - Lok. Zagreb (Cro),https://www.oddsportal.com/soccer/europe/europa-league/malmo-ff-lok-zagreb-hldUXBuP/,Europa League,"Thursday, 24 Sep  2020, 17:00",Malmo FF (Swe)  - Lok. Zagreb (Cro),,Europe
