web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning
1599411699-9,https://www.oddsportal.com/soccer/spain/laliga/,Valencia - Levante,https://www.oddsportal.com/soccer/spain/laliga/valencia-levante-fyTmP9fs/,LaLiga,"Sunday, 13 Sep  2020, 19:00",Valencia - Levante,
1599413076-161,https://www.oddsportal.com/soccer/england/premier-league/,Everton - West Brom,https://www.oddsportal.com/soccer/england/premier-league/everton-west-brom-xvR3y81q/,Premier League,"Saturday, 19 Sep  2020, 11:30",Everton - West Brom,
1599412530-100,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Moreirense - SC Farense,https://www.oddsportal.com/soccer/portugal/primeira-liga/moreirense-sc-farense-faLdI39g/,Primeira Liga,"Sunday, 20 Sep  2020, 17:30",Moreirense - SC Farense,
1599412144-57,https://www.oddsportal.com/soccer/usa/mls/,Minnesota United - FC Dallas,https://www.oddsportal.com/soccer/usa/mls/minnesota-united-fc-dallas-EyCrqbT5/,MLS,"Thursday, 10 Sep  2020, 00:00",Minnesota United - FC Dallas,
1599412085-51,https://www.oddsportal.com/soccer/scotland/premiership/,Livingston - Hamilton,https://www.oddsportal.com/soccer/scotland/premiership/livingston-hamilton-tCLrfj5e/,Premiership,"Saturday, 12 Sep  2020, 14:00",Livingston - Hamilton,
1599413093-163,https://www.oddsportal.com/soccer/england/premier-league/,Brighton - Chelsea,https://www.oddsportal.com/soccer/england/premier-league/brighton-chelsea-6HZRdIXi/,Premier League,"Monday, 14 Sep  2020, 19:00",Brighton - Chelsea,
1599412698-118,https://www.oddsportal.com/soccer/france/ligue-1/,Nantes - St Etienne,https://www.oddsportal.com/soccer/france/ligue-1/nantes-st-etienne-pS4vrOmo/,Ligue 1,"Sunday, 20 Sep  2020, 15:00",Nantes - St Etienne,
1599412429-89,https://www.oddsportal.com/soccer/germany/bundesliga/,Wolfsburg - Bayer Leverkusen,https://www.oddsportal.com/soccer/germany/bundesliga/wolfsburg-bayer-leverkusen-WxC7N28r/,Bundesliga,"Sunday, 20 Sep  2020, 16:00",Wolfsburg - Bayer Leverkusen,
1599411959-37,https://www.oddsportal.com/soccer/russia/premier-league/,Ural - Zenit,https://www.oddsportal.com/soccer/russia/premier-league/ural-zenit-st-petersburg-jNrgzJc5/,Premier League,"Saturday, 19 Sep  2020, 13:30",Ural - Zenit,
1599412245-69,https://www.oddsportal.com/soccer/usa/mls/,Orlando City - Atlanta Utd,https://www.oddsportal.com/soccer/usa/mls/orlando-city-atlanta-united-67UkwTdp/,MLS,"Today, 06 Sep  2020, 00:00",Orlando City - Atlanta Utd,Final result
1599411632-1,https://www.oddsportal.com/soccer/spain/laliga/,Betis - Valladolid,https://www.oddsportal.com/soccer/spain/laliga/betis-valladolid-UDNCJ5OI/,LaLiga,"Monday, 21 Sep  2020, 19:00",Betis - Valladolid,
1599411733-13,https://www.oddsportal.com/soccer/spain/laliga/,Eibar - Celta Vigo,https://www.oddsportal.com/soccer/spain/laliga/eibar-celta-vigo-rcaV6SvD/,LaLiga,"Saturday, 12 Sep  2020, 14:00",Eibar - Celta Vigo,
1599412875-139,https://www.oddsportal.com/soccer/france/ligue-1/,Lens - Paris SG,https://www.oddsportal.com/soccer/france/ligue-1/lens-paris-sg-Uivd8Q0c/,Ligue 1,"Thursday, 10 Sep  2020, 19:00",Lens - Paris SG,
1599411976-39,https://www.oddsportal.com/soccer/russia/premier-league/,FK Rostov - Lokomotiv Moscow,https://www.oddsportal.com/soccer/russia/premier-league/fk-rostov-lokomotiv-moscow-j3nxrAaE/,Premier League,"Monday, 14 Sep  2020, 17:30",FK Rostov - Lokomotiv Moscow,
1599411708-10,https://www.oddsportal.com/soccer/spain/laliga/,Villarreal - Huesca,https://www.oddsportal.com/soccer/spain/laliga/villarreal-huesca-21WeNmPg/,LaLiga,"Sunday, 13 Sep  2020, 16:30",Villarreal - Huesca,
1599412766-126,https://www.oddsportal.com/soccer/france/ligue-1/,Marseille - St Etienne,https://www.oddsportal.com/soccer/france/ligue-1/marseille-st-etienne-65T6kCfI/,Ligue 1,"Thursday, 17 Sep  2020, 19:00",Marseille - St Etienne,
1599411783-18,https://www.oddsportal.com/soccer/europe/champions-league/,Omonia (Cyp)  - FK Crvena zvezda (Srb),https://www.oddsportal.com/soccer/europe/champions-league/omonia-crvena-zvezda-8tYL1jr4/,Champions League,"Wednesday, 16 Sep  2020, 15:00",Omonia (Cyp)  - FK Crvena zvezda (Srb),
1599411800-20,https://www.oddsportal.com/soccer/europe/champions-league/,PAOK (Gre)  - Benfica (Por),https://www.oddsportal.com/soccer/europe/champions-league/paok-benfica-j5NQ0AcA/,Champions League,"Tuesday, 15 Sep  2020, 18:00",PAOK (Gre)  - Benfica (Por),
1599412799-130,https://www.oddsportal.com/soccer/france/ligue-1/,Monaco - Nantes,https://www.oddsportal.com/soccer/france/ligue-1/monaco-nantes-WpCLXtU8/,Ligue 1,"Sunday, 13 Sep  2020, 15:00",Monaco - Nantes,
1599412178-61,https://www.oddsportal.com/soccer/usa/mls/,Minnesota United - Real Salt Lake,https://www.oddsportal.com/soccer/usa/mls/minnesota-united-real-salt-lake-hIBhEtP7/,MLS,"Tomorrow, 07 Sep  2020, 00:00",Minnesota United - Real Salt Lake,
1599412136-56,https://www.oddsportal.com/soccer/usa/mls/,Montreal Impact - Toronto FC,https://www.oddsportal.com/soccer/usa/mls/montreal-impact-toronto-fc-janYXohB/,MLS,"Thursday, 10 Sep  2020, 00:00",Montreal Impact - Toronto FC,
1599413085-162,https://www.oddsportal.com/soccer/england/premier-league/,Sheffield Utd - Wolves,https://www.oddsportal.com/soccer/england/premier-league/sheffield-utd-wolves-0vZVexmb/,Premier League,"Monday, 14 Sep  2020, 19:00",Sheffield Utd - Wolves,
