AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League,Time
60.6,3,0,5,13,1,61.0,82.9,0,12,6,3,3,Rennes,71.4,2,"1,000.",2020-10-16,1,1,431422,39.4,3,2,3,22,2,39.0,77.6,0,12,5,4,2,Dijon,58.8,4,Ligue_1,1800
64.5,7,4,9,12,0,76.0,89.4,0,30,12,11,2,Paris Saint-Germain,81.8,2,,2020-10-16,4,0,431427,35.5,0,0,1,10,1,24.0,64.3,1,5,3,2,7,Nimes,66.7,1,Ligue_1,2000
29.4,2,0,4,14,0,50.0,82.5,0,5,2,1,4,Dijon,72.2,3,,2020-10-04,0,3,431411,70.6,3,1,5,15,2,50.0,85.1,0,17,7,7,1,Bordeaux,84.2,2,Ligue_1,1400
44.7,5,1,6,11,2,53.4,77.1,0,14,5,4,2,Lorient,61.9,1,"3,923.",2020-10-17,3,1,431428,55.3,2,0,3,14,2,46.6,75.1,2,6,1,3,1,Reims,46.2,4,Ligue_1,1600
33.3,1,2,3,10,1,54.0,81.3,0,11,5,5,3,Nice,70.4,5,,2020-10-18,3,1,431429,66.7,5,1,7,15,2,46.0,84.1,0,11,2,4,2,St Etienne,55.6,2,Ligue_1,1600
50.8,1,1,6,15,3,60.5,80.4,0,14,8,5,5,Brest,57.9,2,,2020-10-18,1,3,431426,49.2,2,0,2,15,6,39.5,70.0,0,12,2,8,4,Nantes,71.4,3,Ligue_1,1400
48.9,0,0,2,13,3,19.5,54.3,1,3,1,2,6,Montpellier,62.5,1,,2020-10-18,1,1,431425,51.1,7,0,10,13,2,80.5,86.8,0,21,7,7,1,Monaco,50.0,2,Ligue_1,1400
53.3,2,0,2,16,1,43.3,73.5,2,7,3,2,2,RC Lens,60.9,1,,2020-10-18,0,4,431423,46.7,6,2,7,13,1,56.7,83.6,0,17,5,6,2,Lille,58.3,0,Ligue_1,2000
44.4,3,2,4,20,1,53.5,80.5,0,17,6,8,2,Feyenoord,77.3,1,,2020-10-04,4,1,431776,55.6,0,1,1,16,1,46.5,75.9,0,6,3,3,4,Willem II,65.0,1,Eredivisie,1330
43.5,2,4,6,14,3,53.3,76.7,1,14,6,6,3,AZ Alkmaar,45.5,2,,2020-10-04,4,4,431775,56.5,2,0,6,16,4,46.7,69.2,0,17,8,7,2,Sparta Rotterdam,58.8,1,Eredivisie,1330
41.0,0,5,2,8,2,47.0,75.1,0,14,6,8,6,Lyon,41.7,3,,2020-10-18,3,2,431430,59.0,0,2,4,13,3,53.0,74.2,0,19,11,8,3,Strasbourg,75.0,2,Ligue_1,1200
