web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600972333-253","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Hull - QPR","https://www.oddsportal.com/soccer/england/championship-2019-2020/hull-city-qpr-b3vNo1mG/","Saturday, 19 Oct  2019, 14:00","Hull - QPR","2.50","3.62","2.74","Final result"
"1600972183-193","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Hull - Wigan","https://www.oddsportal.com/soccer/england/championship-2019-2020/hull-city-wigan-lxNFB8lk/","Saturday, 14 Sep  2019, 14:00","Hull - Wigan","2.08","3.50","3.63","Final result"
"1600972947-497","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Reading - West Brom","https://www.oddsportal.com/soccer/england/championship-2019-2020/reading-west-brom-fPztzxJ7/","Wednesday, 12 Feb  2020, 19:00","Reading - West Brom","3.87","3.42","2.01","Final result"
"1600973354-661","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Leeds - Charlton","https://www.oddsportal.com/soccer/england/championship-2019-2020/leeds-charlton-zFxtVbff/","Wednesday, 22 Jul  2020, 18:30","Leeds - Charlton","1.58","4.46","5.27","Final result"
"1600972793-437","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Fulham - Middlesbrough","https://www.oddsportal.com/soccer/england/championship-2019-2020/fulham-middlesbrough-vysBjrob/","Friday, 17 Jan  2020, 18:45","Fulham - Middlesbrough","1.84","3.60","4.37","Final result"
"1600973259-623","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Preston - Nottingham","https://www.oddsportal.com/soccer/england/championship-2019-2020/preston-nottingham-fNDjkNt2/","Saturday, 11 Jul  2020, 14:00","Preston - Nottingham","2.31","3.09","3.46","Final result"
"1600973269-627","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Barnsley - Wigan","https://www.oddsportal.com/soccer/england/championship-2019-2020/barnsley-wigan-UFr5Cgrb/","Saturday, 11 Jul  2020, 14:00","Barnsley - Wigan","2.88","3.25","2.55","Final result"
"1600972486-314","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Brentford - Reading","https://www.oddsportal.com/soccer/england/championship-2019-2020/brentford-reading-UkL1a3An/","Saturday, 23 Nov  2019, 14:00","Brentford - Reading","1.88","3.49","4.43","Final result"
"1600972423-289","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Brentford - Huddersfield","https://www.oddsportal.com/soccer/england/championship-2019-2020/brentford-huddersfield-fB9g78Fg/","Saturday, 02 Nov  2019, 14:00","Brentford - Huddersfield","1.51","4.27","6.85","Final result"
"1600972499-319","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Fulham - Derby","https://www.oddsportal.com/soccer/england/championship-2019-2020/fulham-derby-SG1vWVL4/","Tuesday, 26 Nov  2019, 18:45","Fulham - Derby","1.62","4.08","5.52","Final result"
"1600972755-422","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","West Brom - Leeds","https://www.oddsportal.com/soccer/england/championship-2019-2020/west-brom-leeds-jcqBLNoO/","Wednesday, 01 Jan  2020, 16:15","West Brom - Leeds","3.00","3.48","2.35","Final result"
"1600972374-269","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Bristol City - Charlton","https://www.oddsportal.com/soccer/england/championship-2019-2020/bristol-city-charlton-W8zYtC1l/","Wednesday, 23 Oct  2019, 18:45","Bristol City - Charlton","1.95","3.55","4.04","Final result"
"1600972964-504","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Leeds - Bristol City","https://www.oddsportal.com/soccer/england/championship-2019-2020/leeds-bristol-city-02c7jc3l/","Saturday, 15 Feb  2020, 14:00","Leeds - Bristol City","1.29","5.75","10.11","Final result"
"1600972591-356","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Charlton - Huddersfield","https://www.oddsportal.com/soccer/england/championship-2019-2020/charlton-huddersfield-GMTzF3BP/","Tuesday, 10 Dec  2019, 18:45","Charlton - Huddersfield","2.62","3.24","2.82","Final result"
"1600972158-183","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Leeds - Swansea","https://www.oddsportal.com/soccer/england/championship-2019-2020/leeds-swansea-Knv6X4Tb/","Saturday, 31 Aug  2019, 14:00","Leeds - Swansea","1.60","4.23","5.53","Final result"
"1600973331-652","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Derby - Leeds","https://www.oddsportal.com/soccer/england/championship-2019-2020/derby-leeds-lbEbILAl/","Sunday, 19 Jul  2020, 13:00","Derby - Leeds","2.85","3.47","2.45","Final result"
"1600971990-116","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Stoke - QPR","https://www.oddsportal.com/soccer/england/championship-2019-2020/stoke-city-qpr-WdIlDRO0/","Saturday, 03 Aug  2019, 14:00","Stoke - QPR","1.80","3.49","5.14","Final result"
"1600972529-331","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Wigan - Reading","https://www.oddsportal.com/soccer/england/championship-2019-2020/wigan-reading-YwS6vNZC/","Saturday, 30 Nov  2019, 14:00","Wigan - Reading","2.57","3.24","2.89","Final result"
"1600972511-324","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","QPR - Nottingham","https://www.oddsportal.com/soccer/england/championship-2019-2020/qpr-nottingham-WvFtHSyk/","Wednesday, 27 Nov  2019, 18:45","QPR - Nottingham","2.27","3.57","3.10","Final result"
"1600972999-518","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Charlton - Luton","https://www.oddsportal.com/soccer/england/championship-2019-2020/charlton-luton-EmWm3zmf/","Saturday, 22 Feb  2020, 14:00","Charlton - Luton","2.22","3.26","3.47","Final result"
"1600972666-386","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Fulham - Leeds","https://www.oddsportal.com/soccer/england/championship-2019-2020/fulham-leeds-lCgF7tLd/","Saturday, 21 Dec  2019, 14:00","Fulham - Leeds","3.47","3.80","2.02","Final result"
"1600973053-540","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Luton - Stoke","https://www.oddsportal.com/soccer/england/championship-2019-2020/luton-stoke-city-dj83GpNA/","Saturday, 29 Feb  2020, 14:00","Luton - Stoke","3.28","3.24","2.31","Final result"
"1600972466-306","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Charlton - Cardiff","https://www.oddsportal.com/soccer/england/championship-2019-2020/charlton-cardiff-l8swB9Ss/","Saturday, 23 Nov  2019, 11:30","Charlton - Cardiff","2.94","3.35","2.48","Final result"
"1600972471-308","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Swansea - Millwall","https://www.oddsportal.com/soccer/england/championship-2019-2020/swansea-millwall-WWWsATsl/","Saturday, 23 Nov  2019, 14:00","Swansea - Millwall","1.90","3.57","4.19","Final result"
"1600972956-501","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","QPR - Stoke","https://www.oddsportal.com/soccer/england/championship-2019-2020/qpr-stoke-city-jijKmem7/","Saturday, 15 Feb  2020, 14:00","QPR - Stoke","2.65","3.20","2.82","Final result"
"1600972531-332","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Stoke - Blackburn","https://www.oddsportal.com/soccer/england/championship-2019-2020/stoke-city-blackburn-G2X1u3K6/","Saturday, 30 Nov  2019, 14:00","Stoke - Blackburn","1.94","3.41","4.27","Final result"
"1600972446-298","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Preston - Huddersfield","https://www.oddsportal.com/soccer/england/championship-2019-2020/preston-huddersfield-8MiKnQQt/","Saturday, 09 Nov  2019, 14:00","Preston - Huddersfield","1.94","3.34","4.37","Final result"
"1600973130-571","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Swansea - Luton","https://www.oddsportal.com/soccer/england/championship-2019-2020/swansea-luton-lK7wzoxi/","Saturday, 27 Jun  2020, 11:30","Swansea - Luton","1.72","3.85","4.93","Final result"
"1600972459-303","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Barnsley - Stoke","https://www.oddsportal.com/soccer/england/championship-2019-2020/barnsley-stoke-city-QyTA76o9/","Saturday, 09 Nov  2019, 14:00","Barnsley - Stoke","2.94","3.26","2.52","Final result"
