web-scraper-order,web-scraper-start-url,Leagues,Leagues-href,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2
"1595017345-52","https://www.betano.pt/sport/futebol/","LaLiga","https://www.betano.pt/sport/futebol/espanha/laliga/5r/","Atlético de Madrid
              
                Real Sociedad","https://www.betano.pt/odds/atletico-de-madrid-real-sociedad/5979280/","LaLiga","Domingo, 19 Julho 2020 20:00","Atlético de Madrid","Real Sociedad","2.10","2.54","4.75","1.95","1.61","1.15","1.42","1.65"
"1595017349-53","https://www.betano.pt/sport/futebol/","LaLiga","https://www.betano.pt/sport/futebol/espanha/laliga/5r/","Villarreal
              
                Eibar","https://www.betano.pt/odds/villarreal-eibar/5979294/","LaLiga","Domingo, 19 Julho 2020 17:30","Villarreal","Eibar","1.50","4.30","5.40","1.61","1.95","1.12","1.15","2.37"
"1595017491-78","https://www.betano.pt/sport/futebol/","Primeira Liga","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083r/","Vitória Guimarães
              
                Marítimo","https://www.betano.pt/odds/vitoria-guimaraes-maritimo/5968133/","Primeira Liga","Domingo, 19 Julho 2020 21:15","Vitória Guimarães","Marítimo","1.65","3.75","4.85","1.65","1.90","1.14","1.20","2.11"
"1595017147-16","https://www.betano.pt/sport/futebol/","MLS","https://www.betano.pt/sport/futebol/eua/mls/195161r/","Portland Timbers
              
                Houston Dynamo","https://www.betano.pt/odds/portland-timbers-houston-dynamo/5943472/","MLS","Domingo, 19 Julho 2020 01:00","Portland Timbers","Houston Dynamo","2.12","3.55","3.05","1.44","2.15","1.33","1.20","1.65"
"1595017270-38","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Nápoles
              
                Udinese","https://www.betano.pt/odds/napoles-udinese/5949623/","Série A","Domingo, 19 Julho 2020 18:30","Nápoles","Udinese","1.50","4.10","5.95","1.75","1.80","1.09","1.17","2.40"
"1595017375-57","https://www.betano.pt/sport/futebol/","Championship","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Derby County
              
                Leeds United","https://www.betano.pt/odds/derby-county-leeds-united/5735084/","Championship","Domingo, 19 Julho 2020 14:00","Derby County","Leeds United","3.80","3.40","1.91","1.57","1.95","1.80","1.23","1.22"
"1595017385-59","https://www.betano.pt/sport/futebol/","Championship","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Preston
              
                Birmingham","https://www.betano.pt/odds/preston-birmingham/5735087/","Championship","Sábado, 18 Julho 2020 15:00","Preston","Birmingham","2.00","3.35","3.60","1.70","1.78","1.24","1.23","1.72"
"1595017250-34","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Sassuolo
              
                AC Milão","https://www.betano.pt/odds/sassuolo-ac-milao/5976742/","Série A","Terça-feira, 21 Julho 2020 20:45","Sassuolo","AC Milão","3.10","3.70","2.05","1.36","2.54","1.67","1.21","1.32"
"1595017462-73","https://www.betano.pt/sport/futebol/","Premier League","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1r/","Brighton
              
                Newcastle","https://www.betano.pt/odds/brighton-newcastle/5793721/","Premier League","Segunda-feira, 20 Julho 2020 18:00","Brighton","Newcastle","1.90","3.30","4.00","1.80","1.75","1.20","1.26","1.80"
"1595017320-47","https://www.betano.pt/sport/futebol/","LaLiga","https://www.betano.pt/sport/futebol/espanha/laliga/5r/","CA Osasuna
              
                Maiorca","https://www.betano.pt/odds/ca-osasuna-maiorca/5979289/","LaLiga","Domingo, 19 Julho 2020 20:00","CA Osasuna","Maiorca","1.83","3.70","3.80","1.63","1.95","1.22","1.20","1.88"
"1595017128-12","https://www.betano.pt/sport/futebol/","MLS","https://www.betano.pt/sport/futebol/eua/mls/195161r/","Philadelphia Union
              
                Orlando City SC","https://www.betano.pt/odds/philadelphia-union-orlando-city-sc/5986896/","MLS","Terça-feira, 21 Julho 2020 01:00","Philadelphia Union","Orlando City SC","2.11","3.40","3.20","1.55","1.95","1.30","1.23","1.65"
"1595017501-80","https://www.betano.pt/sport/futebol/","Primeira Liga","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083r/","Famalicão
              
                Boavista","https://www.betano.pt/odds/famalicao-boavista/5968131/","Primeira Liga","Sábado, 18 Julho 2020 21:15","Famalicão","Boavista","1.57","4.10","6.20","2.00","1.60","1.10","1.19","2.30"
"1595017411-64","https://www.betano.pt/sport/futebol/","Championship","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Swansea City
              
                Bristol City","https://www.betano.pt/odds/swansea-city-bristol-city/5735046/","Championship","Sábado, 18 Julho 2020 15:00","Swansea City","Bristol City","1.85","3.50","3.95","1.67","1.80","1.20","1.21","1.85"
"1595017496-79","https://www.betano.pt/sport/futebol/","Primeira Liga","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083r/","Belenenses SAD
              
                Gil Vicente","https://www.betano.pt/odds/belenenses-sad-gil-vicente/5968132/","Primeira Liga","Domingo, 19 Julho 2020 19:00","Belenenses SAD","Gil Vicente","2.19","3.15","3.25","1.87","1.67","1.28","1.28","1.61"
"1595017390-60","https://www.betano.pt/sport/futebol/","Championship","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Queens Park Rangers
              
                Millwall FC","https://www.betano.pt/odds/queens-park-rangers-millwall-fc/5735086/","Championship","Sábado, 18 Julho 2020 15:00","Queens Park Rangers","Millwall FC","3.65","3.35","1.95","1.61","1.90","1.75","1.23","1.24"
"1595017215-27","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Udinese
              
                Juventus","https://www.betano.pt/odds/udinese-juventus/5976754/","Série A","Quinta-feira, 23 Julho 2020 18:30","Udinese","Juventus","5.00","3.85","1.61","1.65","1.91","2.16","1.20","1.14"
