,HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
118,Parma Calcio 1913,Atalanta,Serie_A,2020-07-28,1,2,1.56,1.14,14,14,4,4,5,10,11.27,9.8,1.71,1.02
119,Lazio,Brescia,Serie_A,2020-07-29,2,0,3.91,0.79,29,13,13,2,21,9,7.8,20.2,2.84,0.11
120,Verona,SPAL 2013,Serie_A,2020-07-29,3,0,2.04,0.74,17,14,10,5,18,4,12.24,16.31,2.37,0.45
121,Sassuolo,Genoa,Serie_A,2020-07-29,5,0,3.05,1.11,18,13,8,2,15,5,11.41,27.21,2.53,0.35
122,Torino,Roma,Serie_A,2020-07-29,2,3,0.97,2.42,9,15,4,6,4,7,18.13,9.03,0.38,2.45
123,Sampdoria,AC Milan,Serie_A,2020-07-29,1,4,2.45,3.09,19,20,6,9,5,14,13.96,11.85,1.01,1.79
124,Fiorentina,Bologna,Serie_A,2020-07-29,4,0,2.39,1.3,14,12,7,2,11,4,17.22,14.76,2.24,0.54
125,Cagliari,Juventus,Serie_A,2020-07-29,2,0,1.06,1.26,11,34,5,10,1,3,16.0,8.09,1.22,1.47
126,Udinese,Lecce,Serie_A,2020-07-29,1,2,1.55,1.93,10,13,3,7,6,6,16.75,10.29,1.01,1.71
127,Juventus,Roma,Serie_A,2020-08-01,1,3,1.04,1.94,11,12,3,6,4,5,9.5,19.16,0.65,2.12
128,Atalanta,Inter,Serie_A,2020-08-01,0,2,1.02,1.16,13,11,1,3,9,4,7.54,12.96,1.19,1.5
129,Napoli,Lazio,Serie_A,2020-08-01,3,1,1.93,1.1,13,8,6,3,14,4,12.95,24.69,2.03,0.72
130,AC Milan,Cagliari,Serie_A,2020-08-01,3,0,3.32,0.23,15,5,5,1,17,1,8.0,24.71,2.94,0.03
131,Brescia,Sampdoria,Serie_A,2020-08-01,1,1,1.66,1.95,16,18,4,5,6,4,11.7,10.36,1.12,1.6
132,Genoa,Verona,Serie_A,2020-08-02,3,0,0.9,0.98,4,18,4,1,1,13,20.83,9.06,1.31,1.36
133,Bologna,Torino,Serie_A,2020-08-02,1,1,1.34,1.46,19,15,5,9,6,10,9.13,10.17,1.26,1.46
134,SPAL 2013,Fiorentina,Serie_A,2020-08-02,1,3,0.86,2.25,8,28,4,11,2,12,19.38,16.71,0.45,2.35
135,Lecce,Parma Calcio 1913,Serie_A,2020-08-02,3,4,2.63,3.54,16,19,7,10,9,12,15.22,19.92,0.84,1.96
136,Sassuolo,Udinese,Serie_A,2020-08-02,0,1,1.0,2.15,23,12,10,2,10,8,8.22,18.67,0.57,2.24
137,FC Tambov,FC Rostov,RFPL,2020-08-08,0,1,0.3,0.77,9,7,1,5,3,3,14.65,10.05,0.75,1.85
138,Khimki,CSKA Moscow,RFPL,2020-08-08,0,2,0.6,1.97,18,14,4,3,6,21,21.23,11.44,0.41,2.42
139,Spartak Moscow,PFC Sochi,RFPL,2020-08-09,2,2,1.46,2.13,13,15,4,4,9,4,25.0,22.77,0.86,1.9
140,Arsenal Tula,FK Akhmat,RFPL,2020-08-09,0,0,0.81,0.45,6,10,1,2,6,4,7.73,9.31,1.73,0.88
141,FC Ufa,FC Krasnodar,RFPL,2020-08-09,0,3,0.32,2.15,5,24,2,11,5,14,24.14,4.96,0.16,2.74
142,Ural,Dinamo Moscow,RFPL,2020-08-10,0,2,0.96,1.87,14,15,2,7,4,10,19.08,12.5,0.68,2.08
143,FC Rotor Volgograd,Zenit St. Petersburg,RFPL,2020-08-11,0,2,0.29,1.99,11,16,5,4,2,7,20.4,7.65,0.19,2.7
144,Rubin Kazan,Lokomotiv Moscow,RFPL,2020-08-11,0,2,1.53,1.17,14,12,3,5,3,9,18.65,9.22,1.68,1.02
145,PFC Sochi,Khimki,RFPL,2020-08-14,1,1,1.08,1.24,15,13,5,5,5,5,12.06,11.0,1.19,1.51
146,Arsenal Tula,FC Ufa,RFPL,2020-08-14,2,3,0.7,1.39,18,6,7,4,9,3,7.25,9.32,0.7,2.03
147,Spartak Moscow,FK Akhmat,RFPL,2020-08-14,2,0,2.59,0.35,19,7,4,3,9,4,3.69,13.16,2.84,0.1
148,CSKA Moscow,FC Tambov,RFPL,2020-08-15,2,1,1.15,0.91,12,12,4,6,8,4,12.21,28.6,1.58,1.11
149,Lokomotiv Moscow,FC Krasnodar,RFPL,2020-08-15,1,0,1.53,1.45,16,16,9,3,5,13,13.91,6.17,1.4,1.34
150,Rubin Kazan,Ural,RFPL,2020-08-15,1,1,2.14,1.42,21,13,6,5,7,5,13.0,8.73,1.92,0.83
151,FC Rostov,Zenit St. Petersburg,RFPL,2020-08-15,0,2,0.6,1.68,19,14,4,6,6,9,11.95,6.07,0.43,2.36
152,Dinamo Moscow,FC Rotor Volgograd,RFPL,2020-08-15,0,0,1.49,0.13,21,3,3,2,8,3,11.05,14.73,2.57,0.25
153,PFC Sochi,Rubin Kazan,RFPL,2020-08-18,3,2,1.69,2.17,11,18,6,7,4,3,15.81,8.44,1.05,1.7
154,FC Krasnodar,Arsenal Tula,RFPL,2020-08-18,2,0,1.95,0.66,14,11,7,4,9,2,6.0,11.33,2.42,0.39
155,FC Tambov,Khimki,RFPL,2020-08-18,1,0,1.33,0.67,5,20,2,3,0,5,14.25,8.22,2.04,0.68
156,FK Akhmat,FC Rotor Volgograd,RFPL,2020-08-19,3,1,3.2,0.58,25,7,9,3,11,1,6.87,15.17,2.84,0.1
157,Zenit St. Petersburg,CSKA Moscow,RFPL,2020-08-19,2,1,1.18,0.68,16,13,7,4,22,7,12.43,15.79,1.78,0.91
158,Ural,Lokomotiv Moscow,RFPL,2020-08-19,1,1,0.58,2.72,5,21,1,8,4,10,15.36,17.67,0.18,2.73
159,FC Ufa,Spartak Moscow,RFPL,2020-08-19,1,1,0.27,2.85,7,21,2,5,1,17,23.17,6.19,0.07,2.88
160,Dinamo Moscow,FC Rostov,RFPL,2020-08-19,2,0,1.15,0.42,6,11,3,1,5,7,13.26,4.89,2.18,0.54
161,Bordeaux,Nantes,Ligue_1,2020-08-21,0,0,0.6,0.19,5,6,1,1,0,2,24.46,13.0,1.86,0.7
162,Lille,Rennes,Ligue_1,2020-08-22,1,1,0.4,1.3,5,16,1,3,1,6,16.5,23.07,0.54,2.18
163,Khimki,FK Akhmat,RFPL,2020-08-22,1,2,1.48,1.52,13,17,5,6,8,8,11.67,4.13,1.3,1.38
164,Ural,FC Krasnodar,RFPL,2020-08-22,1,0,1.24,1.35,12,15,4,6,4,9,24.0,8.71,1.26,1.45
165,Arsenal Tula,Dinamo Moscow,RFPL,2020-08-22,2,0,1.62,0.8,12,7,4,3,4,3,13.0,6.73,2.11,0.62
166,FC Rotor Volgograd,PFC Sochi,RFPL,2020-08-22,1,2,0.65,1.54,13,17,2,8,4,8,10.24,15.21,0.64,2.11
167,Zenit St. Petersburg,FC Tambov,RFPL,2020-08-22,4,1,3.73,0.3,25,6,10,4,13,2,8.62,29.44,2.96,0.03
168,Dijon,Angers,Ligue_1,2020-08-22,0,1,0.74,2.02,9,12,1,4,5,6,22.0,24.13,0.42,2.38
169,CSKA Moscow,Rubin Kazan,RFPL,2020-08-22,1,2,0.87,0.92,20,14,7,6,8,7,8.83,13.12,1.29,1.38
170,Monaco,Reims,Ligue_1,2020-08-23,2,2,2.68,1.83,22,9,5,3,14,3,3.79,21.19,1.94,0.86
171,Lorient,Strasbourg,Ligue_1,2020-08-23,3,1,3.07,0.33,10,7,7,1,2,4,7.17,17.4,2.92,0.05
172,Nice,Lens,Ligue_1,2020-08-23,2,1,0.18,3.04,4,17,2,4,3,5,7.27,12.41,0.02,2.96
173,Nimes,Brest,Ligue_1,2020-08-23,4,0,2.15,0.47,12,10,5,3,7,4,8.21,6.07,2.56,0.29
174,FC Ufa,FC Rostov,RFPL,2020-08-23,0,1,0.51,1.45,5,18,2,6,2,14,13.89,10.93,0.58,2.16
175,Spartak Moscow,Lokomotiv Moscow,RFPL,2020-08-23,2,1,1.56,0.71,17,9,8,3,10,4,6.6,8.87,2.05,0.7
176,FC Tambov,PFC Sochi,RFPL,2020-08-25,0,1,0.7,2.17,11,16,1,6,2,5,24.36,14.12,0.31,2.54
177,Arsenal Tula,Khimki,RFPL,2020-08-25,1,1,1.39,0.29,27,3,4,2,8,1,7.2,11.2,2.28,0.46
178,FC Rotor Volgograd,Spartak Moscow,RFPL,2020-08-26,0,1,0.95,2.82,12,22,6,6,1,15,17.0,3.4,0.25,2.63
179,Lokomotiv Moscow,FK Akhmat,RFPL,2020-08-26,2,3,1.93,1.24,17,10,5,5,11,9,5.91,9.12,1.91,0.84
180,FC Krasnodar,CSKA Moscow,RFPL,2020-08-26,1,1,0.9,0.83,18,18,7,10,14,8,10.24,8.61,1.39,1.27
181,Dinamo Moscow,Zenit St. Petersburg,RFPL,2020-08-26,1,0,0.15,0.74,6,18,2,4,1,10,17.31,10.83,0.68,1.87
182,Rubin Kazan,FC Ufa,RFPL,2020-08-26,3,0,3.45,0.39,20,12,11,3,7,2,13.82,23.45,2.94,0.03
183,FC Rostov,Ural,RFPL,2020-08-26,1,0,0.74,0.16,12,6,2,1,4,3,10.71,12.82,1.92,0.65
184,Lyon,Dijon,Ligue_1,2020-08-28,4,1,3.97,0.22,27,6,12,2,15,0,6.0,28.6,2.98,0.01
185,Rennes,Montpellier,Ligue_1,2020-08-29,2,1,1.79,0.49,16,11,7,3,7,2,5.11,13.27,2.35,0.45
186,Spartak Moscow,Arsenal Tula,RFPL,2020-08-29,2,1,1.01,0.45,7,5,3,2,3,1,4.48,12.71,1.89,0.76
187,Khimki,FC Rotor Volgograd,RFPL,2020-08-29,1,1,1.32,0.56,17,8,3,2,5,2,7.82,12.89,2.01,0.7
188,Strasbourg,Nice,Ligue_1,2020-08-29,0,2,0.23,1.21,6,3,0,2,4,1,16.28,12.76,0.33,2.45
189,FC Ufa,Dinamo Moscow,RFPL,2020-08-30,1,1,0.56,0.58,7,11,2,6,6,5,16.39,11.57,1.3,1.28
190,FK Akhmat,CSKA Moscow,RFPL,2020-08-30,0,3,0.82,1.62,19,12,5,8,6,5,9.27,9.23,0.67,2.09
191,Rubin Kazan,FC Tambov,RFPL,2020-08-30,2,2,2.1,0.73,15,7,8,3,11,2,11.41,15.83,2.39,0.43
192,Saint-Etienne,Lorient,Ligue_1,2020-08-30,2,0,1.39,0.21,13,6,5,1,2,1,9.13,6.7,2.43,0.35
193,PFC Sochi,Ural,RFPL,2020-08-30,0,0,0.41,0.65,13,10,1,2,5,5,11.57,14.06,1.03,1.53
194,FC Krasnodar,FC Rostov,RFPL,2020-08-30,1,1,1.55,0.63,23,14,7,4,21,6,6.76,11.26,2.12,0.64
195,Angers,Bordeaux,Ligue_1,2020-08-30,0,2,0.51,2.29,12,7,2,7,6,2,8.32,7.97,0.24,2.63
196,Reims,Lille,Ligue_1,2020-08-30,0,1,0.21,0.91,4,10,0,3,0,0,10.81,16.39,0.59,2.04
197,Nantes,Nimes,Ligue_1,2020-08-30,2,1,2.16,0.87,8,17,5,9,1,8,16.71,5.96,2.36,0.46
