web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600976578-807","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Sittard - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/sittard-groningen-UkVV2TFs/","Saturday, 30 Nov  2019, 17:45","Sittard - Groningen","3.29","3.62","2.12","Final result"
"1600976478-769","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Feyenoord - Heracles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/feyenoord-heracles-O21b7Zmp/","Sunday, 20 Oct  2019, 14:45","Feyenoord - Heracles","1.33","5.70","8.12","Final result"
"1600976696-854","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Sparta Rotterdam - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/sparta-rotterdam-sittard-YTWCXP2r/","Saturday, 25 Jan  2020, 18:45","Sparta Rotterdam - Sittard","1.63","4.19","4.98","Final result"
"1600976684-849","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Den Haag - Waalwijk","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/den-haag-waalwijk-EP3jGOX7/","Sunday, 19 Jan  2020, 14:45","Den Haag - Waalwijk","1.96","3.84","3.54","Final result"
"1600976818-902","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Sittard - Zwolle","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/sittard-zwolle-IDtX4GoS/","Friday, 06 Mar  2020, 18:00","Sittard - Zwolle","2.17","3.58","3.21","Final result"
"1600976528-789","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heerenveen - Sparta Rotterdam","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heerenveen-sparta-rotterdam-Q3LEtRpK/","Saturday, 09 Nov  2019, 16:30","Heerenveen - Sparta Rotterdam","1.98","3.81","3.51","Final result"
"1600976952-955","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","FC Emmen - AZ Alkmaar","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/fc-emmen-az-alkmaar-reGxdzLm/","Sunday, 10 May  2020, 12:30","FC Emmen - AZ Alkmaar","3.67","3.57","1.86","Canceled"
"1600976287-693","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Sittard - Heracles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/sittard-heracles-6owCwPHB/","Sunday, 11 Aug  2019, 10:15","Sittard - Heracles","2.40","3.77","2.71","Final result"
"1600976531-790","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Sittard - Den Haag","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/sittard-den-haag-pl2oy58s/","Saturday, 09 Nov  2019, 17:45","Sittard - Den Haag","2.43","3.74","2.67","Final result"
"1600976775-885","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","FC Emmen - Willem II","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/fc-emmen-willem-ii-IwQNwvmT/","Saturday, 22 Feb  2020, 16:30","FC Emmen - Willem II","2.34","3.45","2.96","Final result"
"1600976850-915","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Utrecht - Vitesse","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/utrecht-vitesse-6eQfcPqJ/","Saturday, 14 Mar  2020, 18:45","Utrecht - Vitesse","-","-","-","Canceled"
"1600976325-708","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heracles - Vitesse","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heracles-vitesse-I1KGfHh3/","Saturday, 24 Aug  2019, 17:45","Heracles - Vitesse","3.20","3.87","2.08","Final result"
"1600976394-736","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heerenveen - Utrecht","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heerenveen-utrecht-pAFmE2kg/","Sunday, 22 Sep  2019, 10:15","Heerenveen - Utrecht","3.21","3.90","2.07","Final result"
"1600976429-750","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Feyenoord - Twente","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/feyenoord-twente-nwxJTskt/","Sunday, 29 Sep  2019, 14:45","Feyenoord - Twente","1.35","5.44","7.80","Final result"
"1600976265-684","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Twente - PSV","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/twente-psv-6P1yRoY5/","Saturday, 03 Aug  2019, 18:45","Twente - PSV","6.25","4.51","1.49","Final result"
"1600976493-775","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heerenveen - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heerenveen-groningen-GdQyLhIq/","Sunday, 27 Oct  2019, 10:15","Heerenveen - Groningen","2.13","3.42","3.46","Final result"
"1600976309-702","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Sittard - Willem II","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/sittard-willem-ii-Yewivd8M/","Sunday, 18 Aug  2019, 10:15","Sittard - Willem II","3.47","3.87","1.99","Final result"
"1600976392-735","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Vitesse - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/vitesse-sittard-MTgCXjjE/","Saturday, 21 Sep  2019, 18:45","Vitesse - Sittard","1.22","7.06","11.22","Final result"
"1600976510-782","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","AZ Alkmaar - Twente","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/az-alkmaar-twente-6qO8Novr/","Saturday, 02 Nov  2019, 18:45","AZ Alkmaar - Twente","1.23","6.49","11.42","Final result"
"1600976682-848","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Ajax - Sparta Rotterdam","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/ajax-sparta-rotterdam-hAFsIp3e/","Sunday, 19 Jan  2020, 12:30","Ajax - Sparta Rotterdam","1.08","11.46","23.91","Final result"
