League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Bundesliga,2020-10-24,1730,Borussia Dortmund,FC Schalke 04,1.19,6.6,11.5,None,None,None,None,None,None,None,None,2020-10-06,1237
Eredivisie,2020-10-24,1745,FC Utrecht,FC Twente Enschede,1.57,3.75,5.6,None,None,None,None,None,None,None,None,2020-10-06,1235
Eredivisie,2020-10-24,1900,Den Haag,AZ Alkmaar,5.6,3.75,1.57,None,None,None,None,None,None,None,None,2020-10-06,1235
Eredivisie,2020-10-24,2000,SC Heerenveen,FC Emmen,1.57,3.75,5.6,None,None,None,None,None,None,None,None,2020-10-06,1235
Eredivisie,2020-10-25,1115,RKC Waalwijk,Feyenoord,11.0,5.7,1.23,None,None,None,None,None,None,None,None,2020-10-06,1235
Eredivisie,2020-10-25,1330,Fortuna Sittard,FC Groningen,2.52,3.4,2.56,None,None,None,None,None,None,None,None,2020-10-06,1235
Eredivisie,2020-10-25,1330,Vitesse,PSV Eindhoven,2.9,3.55,2.2,None,None,None,None,None,None,None,None,2020-10-06,1235
Bundesliga,2020-10-25,1430,Wolfsburgo,Arminia Bielefeld,1.6,4.45,4.45,None,None,None,None,None,None,None,None,2020-10-06,1237
Eredivisie,2020-10-25,1545,Sparta Rotterdam,Heracles Almelo,2.2,3.55,2.9,None,None,None,None,None,None,None,None,2020-10-06,1235
Eredivisie,2020-10-25,1545,PEC Zwolle,Willem II Tilburg,2.52,3.4,2.56,None,None,None,None,None,None,None,None,2020-10-06,1235
La_Liga,2020-10-25,1700,Atletico de Madrid,Betis,1.6,3.7,5.5,2.04,1.57,2.05,1.55,1.11,None,2.2,None,2020-10-06,1258
La_Liga,2020-10-25,1700,Real Valladolid,Alaves,2.5,2.7,3.25,2.84,1.28,2.2,1.47,1.30,None,1.47,None,2020-10-06,1258
La_Liga,2020-10-25,1700,Real Sociedad,Huesca,1.5,3.85,6.55,2.13,1.50,2.25,1.45,1.07,None,2.4,None,2020-10-06,1258
La_Liga,2020-10-25,1700,Cadiz CF,Villarreal,4.05,3.05,2.0,2.3,1.44,2.02,1.57,1.72,None,1.2,None,2020-10-06,1258
La_Liga,2020-10-25,1700,Levante,Celta de Vigo,2.25,3.2,3.1,2.05,1.55,1.8,1.75,1.32,None,1.57,None,2020-10-06,1258
Bundesliga,2020-10-25,1700,Werder Bremen,Hoffenheim,2.9,3.45,2.25,None,None,None,None,None,None,None,None,2020-10-06,1237
La_Liga,2020-10-25,1700,CA Osasuna,Athletic Bilbao,2.78,2.86,2.7,2.58,1.35,2.1,1.53,1.40,None,1.38,None,2020-10-06,1258
La_Liga,2020-10-25,1700,Elche CF,Valencia,3.05,2.9,2.45,2.35,1.42,1.95,1.63,1.47,None,1.33,None,2020-10-06,1258
La_Liga,2020-10-25,1700,Sevilha,Eibar,1.36,4.8,7.2,1.57,2.02,1.83,1.72,1.06,None,2.86,None,2020-10-06,1258
La_Liga,2020-10-25,2000,Barcelona,Real Madrid,2.3,3.4,2.86,1.55,2.05,1.45,2.25,1.36,None,1.55,None,2020-10-06,1258
Bundesliga,2020-10-26,1930,Bayer Leverkusen,Augsburgo,1.53,4.95,4.4,None,None,None,None,None,None,None,None,2020-10-06,1237
Champions,2020-10-27,1755,Lokomotiv Moscovo,Bayern Munique,11.0,4.9,1.28,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-27,1755,Shakhtar Donetsk,Inter de Milao,3.4,3.45,2.02,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-27,2000,Atletico de Madrid,Salzburgo,1.53,3.65,6.55,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-27,2000,Borussia Monchengladbach,Real Madrid,5.8,3.8,1.55,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-27,2000,Atalanta,Ajax,1.78,3.5,4.33,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-27,2000,FC Porto,Olympiacos,1.85,3.25,4.3,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-27,2000,Liverpool,FC Midtjylland,1.17,6.0,17.0,None,None,None,None,None,None,None,None,2020-10-06,1251
